"Status"	"Evidence ID"	"Gene"	"Variant"	"Description"	"Disease"	"Drugs"	"Evidence Level"	"Evidence Type"	"Evidence Direction"	"Clinical Significance"	"Variant Origin"	"Trust Rating"
"accepted"	"473"	"EGFR"	"AMPLIFICATION"	"The group of 43 out of 75 tumor samples with increased copy number or amplification of EGFR as determined by FISH (FISH-positive) had worse progression-free and overall survival than FISH-negative tumors."	"Head And Neck Squamous Cell Carcinoma"	"N/A"	"B"	"Prognostic"	"Supports"	"Poor Outcome"	"Somatic Mutation"	4
"accepted"	"691"	"EGFR"	"AMPLIFICATION"	"EGFR amplification was not a predictor of response to cetuximab/5-FU/platinum in patients with recurrent or metastatic HNSSC from the EXTREME study."	"Head And Neck Squamous Cell Carcinoma"	"5-Fluorouracil, Cetuximab, PLATINUM"	"B"	"Predictive"	"Does Not Support"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"471"	"EGFR"	"AMPLIFICATION"	"In patients with cervical squamous cell carcinoma, those with gene amplification of EGFR had worse overall survival."	"Cervical Squamous Cell Carcinoma"	"N/A"	"B"	"Prognostic"	"Supports"	"Poor Outcome"	"Somatic Mutation"	3
"accepted"	"470"	"EGFR"	"AMPLIFICATION"	"In patients with Barrett's adenocarcinoma, those with amplification of EGFR had shorter disease-specific survial."	"Barrett's Adenocarcinoma"	"N/A"	"B"	"Prognostic"	"Supports"	"Poor Outcome"	"Somatic Mutation"	3
"accepted"	"1393"	"ERBB2"	"AMPLIFICATION"	"155 patients with lung adenocarcinomas underwent rebiopsy and genotyping (EGFR, AKT1, BRAF, ERBB2, KRAS, MEK1, NRAS, PIK3CA and FISH for MET and HER2) after the development of acquired resistance to EGFR inhibitors (gefitinib or erlotinib). 2 of 24 patients tested were found to have HER2 amplification (but no baseline samples available for analysis). One patient of which had a metastasis sample which was reported to have only HER2 amplification whereas another autopsy specimen from the same patient was HER2 negative but EGFR T790M positive."	"Lung Adenocarcinoma"	"Erlotinib, Gefitinib"	"C"	"Predictive"	"Supports"	"Resistance or Non-Response"	"N/A"	1
"accepted"	"1381"	"ERBB2"	"AMPLIFICATION"	"p110alpha was knocked out in cells obtained from tumors in MMTV-NeuT mammary tumor model mice. Transplantation of these cells into athymic mice did not result in tumor growth in contrast to controls containing p110alpha. The PI3KA isoform specific inhibitor A66 was used on cells from MMTV-NeuT mouse tumors, which resulted in decreased lipid kinase activity as well as phospho Akt levels. Athymic mice received MMTV-NeuT tumor cell transplants and were then treated with A66, which resulted in significant reductions in tumor growth compared to controls."	"Her2-receptor Positive Breast Cancer"	"A66"	"D"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"1380"	"ERBB2"	"AMPLIFICATION"	"The HER2/Neu mammary tumor mouse model MMTV-NeuT was employed to demonstrate dependence of HER2 tumor formation on PIK3 p110alpha isoform. MMTV-NeuT mice were crossed with floxed p110alpha mice. Diassacociated tumors cells from these mice were treated with Cre adenovirus to delete p110alpha, or GFP adenovirus, and cells were transplanted into athymic mice. GFP treated cells formed new tumors, while p110alpha deletion blocked tumor formation indicating tumor dependence on PI3KA. Next, MMTV-NeuT tumors were dissociated and treated with pan-PI3K inhibitor GDC-0941. Reduced lipid kinase activity and reduced phospho-Akt levels were seen in these cells. Administration of 125 mg/kg GDC-0941 to athymic mice with transplantation of tumor cells caused marked reduction of tumor cell volume in comparison to control treatment."	"Her2-receptor Positive Breast Cancer"	"GDC-0941"	"D"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"1432"	"ERBB2"	"AMPLIFICATION"	"In a randomized phase II study, first line treatment of HER2-positive metastatic breast cancer with trastuzumab emtansine (T-DM1) resulted in improved progression free survival and fewer serious adverse effects when compared to treatment with combination trastuzumab plus docetaxel (HT) (median follow up 14 months, median PFS with T-DM1 14.2 vs 9.2 with HT)."	"Her2-receptor Positive Breast Cancer"	"Trastuzumab Emtansine"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"1382"	"ERBB2"	"AMPLIFICATION"	"Treatment of cells obtained from MMTV-NeuT mouse mammary tumors with the p110beta selective inhibitor TGX-221 showed significant but minimal reductions in lipid kinase activity and negligible reductions in phospho Akt levels. In simmilar cells subjected to p110alpha isoform knockout, TGX-221 treatment fully blocked Akt activation, indicating that TGX-221 was fully inhibiting the p110beta isoform. Athymic mice recieved MMTV-NeuT tumor cell transplants and were treated with TGX-221, which resulted in significant but minimal reduction in tumor growth compared to controls."	"Her2-receptor Positive Breast Cancer"	"Tgx 221"	"D"	"Predictive"	"Does Not Support"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"1439"	"ERBB2"	"AMPLIFICATION"	"In a randomized open label phase 3 study (NCT00553358), women with HER2 positive primary breast cancer treated with lapatinib plus trasuzumab had higher rates of pathological complete responses than seen in control groups receiving either IV trastuzumab or oral lapatinib alone (combination treatment pCR rate of 51% vs 29.5% and 24.7% for trastuzumab and lapatinib alone, respectively)."	"Breast Cancer"	"Trastuzumab, Lapatinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1437"	"ERBB2"	"AMPLIFICATION"	"In a randomized phase 3 trial, HER2 positive metastatic breast cancer patients given first-line treatment of pertuzumab plus trastuzumb plus docetaxel experienced improved progression free survival (18.5 vs 12.4 months,  P<0.001) and increased objective response rate (80.2% vs 69.3%, P=0.001) than the control group given placebo plus trastuzumab plus docetaxel."	"Breast Cancer"	"Docetaxel, Trastuzumab, Pertuzumab"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"submitted"	"1448"	"ERBB2"	"AMPLIFICATION"	"In 5 trastuzumab resistant HER2 overexpressing breast cancer cell lines, combination XL147 and trastuzumab treatment induced cell death to similar or greater levels than XL147 alone. In three trastuzumab resistant cell lines tested, colony formation in matrigel was markedly inhibited by combination treatment. Apoptotic markers were apparent with combination treatment. In athymic mice, trastuzumab resistant cell line HR6 was used in tumor xenografts and tumors were allowed to form.  Mice subsequently treated with trastuzumab or XL147 showed continued tumor growth without marked difference from control, while combination treatment essentially halted tumor growth rate."	"Her2-receptor Positive Breast Cancer"	"XL147 (Pilaralisib), Trastuzumab"	"D"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1113"	"ERBB2"	"AMPLIFICATION"	"In this two arm, Phase III study (NCT00878709) of the efficacy of a 12 month course of the TKI neratinib after trastuzumab-based adjuvant therapy of early stage HER2-positive breast cancer was assessed using invasive disease-free survival as primary endpoint.  HER2 positivity was assessed via FISH.  At 2 year follow-up, 70 vs. 109 disease-free survival events had occurred and disease-free survival rates were 93.9% vs. 91.6% (significant) in neratinib vs. placebo groups respectively.  Distant disease-free survival and time to distant recurrence were similar in both groups.  These results are an interesting contrast to results of long-term adjuvant therapy with trastuzumab (HERA) which did not show significant benefit."	"Breast Cancer"	"Neratinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1098"	"ERBB2"	"AMPLIFICATION"	"This phase II single arm study assessed trastuzumab monotherapy in HER2 positive endometrial cancers with tumor response as primary endpoint.  Participants had stage III, IV or recurrent HER2 positive endometrial cancer.  During the trial's initial phase, 23 of 132 patients screened met the criteria of IHC2+ or 3+ or FISH positivity for HER2 status.  In the absence of results, the trial entered phase B, where only patients with HER2 amplification by FISH were admitted.  The trial ended early due to poor accrual with 11 of 154 screened meeting the phase B criteria. No major objective tumor responses were observed in the study.  28% of the cancers were of the serous type that had shown trastuzumab response in case studies.  The investigators note that in other HER2 cancers, such as breast and gastrointestinal, trastuzumab in combination with chemotherapy has been found most effective, and could warrant more study.  Currently a clinical trial (NCT01367002) is evaluating carboplatin/paclitaxel with or without trastuzumab in uterine serous cancer."	"Endometrial Cancer"	"Trastuzumab"	"B"	"Predictive"	"Does Not Support"	"Sensitivity"	"Somatic Mutation"	2
"accepted"	"1006"	"ERBB2"	"AMPLIFICATION"	"In-vitro studies using ERBB2 over-expressing breast cancer cell lines BT474 and SKBR3 (with ERBB2 amplification) showed apoptosis under either labatinib or trastuzumab treatment.  A marked synergistic apoptotic effect under lapatinib and trastuzumab co-treatment was observed in BT474 cells, and a milder synergistic effect was observed in SKBR3 cells."	"Breast Cancer"	"Trastuzumab, Lapatinib"	"D"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"886"	"ERBB2"	"AMPLIFICATION"	"Eight uterine cancer cell lines (four with ERBB2 amplification and four without) were treated with scalar concentrations of afatinib. Primary chemotherapy-resistant USC cell lines harbouring ERBB2 gene amplification were sensitive to afatinib exposure and significantly more sensitive than non-amplified cell lines."	"Uterine Corpus Endometrial Carcinoma"	"Afatinib"	"D"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	2
"accepted"	"1011"	"ERBB2"	"AMPLIFICATION"	"This Phase II trial (LUX-Breast 3 - NCT01441596) compared afatinib, afatinib plus vinorelbine, or investigator's choice of treatment.  121 patients with HER2 overexpressing breast cancer with CNS recurrence or regression who had previously progressed on trastuzumab or lapatinib were assigned to 3 arms, with endpoint in the intention-to-treat population being patient benefit at 12 weeks defined as absence of CNS or extra CNS progression, no tumor related worsening of neurological symptoms and no increase in corticosteroid dose. Benefit was seen in 30% of 40 patients assigned to afatinib alone, 34.2% of 38 assigned to afatinib plus vinorelbine, and 41.9% of 43 assigned to investigator's treatment choice.  Differences were not statistically significant, and afatanib patients experienced more adverse effects.  While Afatanib did show response in HER2 breast cancer patients, it was not better than investigator's treatment choice and the investigators state that no further development of afatinib for HER2 breast cancer will be planned."	"Breast Cancer"	"Afatinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"1023"	"ERBB2"	"AMPLIFICATION"	"TyTAN, a Phase III study in Asian patients, looked at addition of tyrosine kinase inhibitor lapatinib to chemptherapy in advanced HER2 positive gastric cancer.  Primary endpoint was Overall Survival (OS).  Participants had progressed under previous treatment and only a small percentage had seen first line trastuzumab.  Patients were a mix of those having undergone gastrectomy and not.  OS was not significantly  different in the ITT population, but certain subpopulations showed significant differences.  In the subset of patients showing a stronger immunohistochemistry result for HER2 (IHC3+), progression free survival was significantly different at 5.6 months for lapatinib + pacitaxel vs. 4.2 months for pacitaxel alone.  The authors conclude that proof of concept for lapatanib addition to chemotherapy for certain subgroups is provided in this study."	"Gastric Adenocarcinoma"	"Lapatinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"1009"	"ERBB2"	"AMPLIFICATION"	"This Phase III study (EGF104900) was motivated by preclinical and other data demonstrating synergistic activity between lapatinib and trastuzumab against HER2 positive breast cancer (BC) cells.  In this study of HER2 positive metastatic BC which had progressed on trastuzumab, two arms were compared: lapatinib vs. lapatinib + trastuzumab. Progression free survival (PFS) was the primary endpoint. For 296 patients, 148 in each arm, median PFS of 8.1 weeks for lapatinib and 12.0 for combination therapy was observed (P=0.008).  The authors conclude that in the context of metastatic trastuzumab-progressed HER2 positive BC, trastuzumab with lapatinib TKI addition is a favorable treatment."	"Breast Cancer"	"Trastuzumab, Lapatinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1010"	"ERBB2"	"AMPLIFICATION"	"With multiple mechanisms of HER reprogramming thought to be behind trastuzumab resistance, including increased expression of ErbB members, afatinib, which broadly and irreversibly targets ErbB receptors was tested in a single arm phase II trial on advanced stage HER2 positive metastatic breast cancer. From 41 treated patients, 10% had partial response, 37% had stable disease as best response and 46% achieved clinical benefit.  Median progression free survival (PFS) was 15.1 weeks and median overall survival (OS) was 61.0 weeks. The authors conclude that Afatinib monotherapy shows promise in treatment of metastatic HER2 positive breast cancer that has progressed under trastuzumab."	"Breast Cancer"	"Afatinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"1007"	"ERBB2"	"AMPLIFICATION"	"In light of results showing increased PFS using mAB plus TKI in heavily pretreated patients, the efficacy of trastuzumab plus lapatinib in a neoadjuvant setting with untreated stage II or IIIA HER2 positive breast cancer was assessed.  In this randomized 3 arm phase II study (CHER-LOB), patients received (A) chemotherapy plus trastuzumab, (B) chemotherapy plus lapatinib, or (C) chemotherapy plus trastuzumab and lapatinib, with pathologic complete response (pCR) as endpoint.  From 121 patients, pCR rates were 25% in arm A, 26.3% in arm B, and 46.7% in arm C.  The authors conclude these results support the superiority of dual-HER2 inhibition in the neoadjuvant context of HER2 positive BC."	"Breast Cancer"	"Trastuzumab, Lapatinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1013"	"ERBB2"	"AMPLIFICATION"	"Trastuzumab resistance is thought to consist of multiple compensatory mechanisms involving ErbB family members such as increased signaling through ErbB family heterodimers.  The irreversible TKI afatinib blocks EGFR, HER2, ErbB3 and ErbB4.  Thus afatinib was studied in this Phase I trial of trastuzumab-progressed HER2 positive metastatic BC (MBC) in combination with continued trastuzumab treatment, where trastuzumab is still the perferred treatment for trastuzumab-progressed MBC.  Objective response and disease control rates were 11% and 39%.  The authors conclude that the clinical activity observed in this trial warrants further work with afatinib and trastuzumab combination therapy."	"Breast Cancer"	"Trastuzumab, Afatinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"1096"	"ERBB2"	"AMPLIFICATION"	"In a study of 27 African American and caucasian patients, endometrial adenocarcinoma samples were assessed for HER2 via IHC staining, and association studies were performed using corresponding patient information.  Earlier deaths were seen with heavier HER2 expression.  Multivariate Cox regression indicated that shorter survival was associated with higher HER2 expression, and not with age or ethnicity, and that observed differences in survival rates between ethnicities can be ascribed to higher rates of HER2 overexpression in African American patients.  The authors conclude that high HER2 expression in USPC is associated with poor outcome and explains observed differences in outcome between ethnicities."	"Uterine Corpus Serous Adenocarcinoma"	"N/A"	"B"	"Prognostic"	"Supports"	"Poor Outcome"	"Somatic Mutation"	4
"accepted"	"1159"	"ERBB2"	"AMPLIFICATION"	"The Phase III trial, TH3RESA (NCT01419197), was performed in patients with advanced HER2 breast cancer that was heavily pretreated.  Patients were required to have prior exposure to trastuzumab and lapatinib as well as a taxane.  This patient population has not seen many studies, responds poorly to late-line treatment with trastuzumab, and in this study was treated with trastuzumab emtansine (T-DM1, n=404) vs. physician's choice (usually trastuzumab plus chemotherapy, n=198).  Results showed progression free survival was 6.2 months in T-DM1 treatment vs. 3.3 months under physician's choice, along with lower incidence of grade 3 or worse events with T-DM1.  The authors conclude that their findings in this heavily pretreated population, along with findings in the EMILIA trial, indicate promise for antibody-drug conjugates.  The NCI-MATCH trial with further study T-DM1 in the context of HER2 amplification."	"Breast Cancer"	"Trastuzumab Emtansine"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1133"	"ERBB2"	"AMPLIFICATION"	"In this Phase III trial, trastuzumab-based treatment was assessed in women with locally advanced or metastatic HER2 positive breast cancer who had progressed on trastuzumab.  Patients had 12 weeks or greater previous trastuzumab treatment with time since end of last cycle less than 6 weeks.  Primary endpoint was time to progression.  78 patients were assigned to each group, with median time to progression of 5.6 months in capecitabine group and 8.2 months in trastuzumab plus capecitabine group.  The results are in contrast to the principle of change of treatment on disease progression, and authors suggest that chemotherapy-sensitizing mechanisms of trastuzumab remain intact in HER2 breast cancer cells with trastuzumab progression."	"Breast Cancer"	"Capecitabine, Trastuzumab"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1132"	"ERBB2"	"AMPLIFICATION"	"This Phase III trial took patients with locally advanced or metastatic HER2 (ERBB2) positive breast cancer that had progressed on prior trastuzumab treatment.  Patients were given capecitabine (n=161) or lapatinib plus capecitabine (n=163). The primary endpoint of the study was time to progression. Median time to progression was 4.4 months in the capecitabine group and 8.4 months in capecitabine plus lapatinib group (hazard ratio was 0.49 ; 95% confidence interval, 0.34 to 0.71; P<0.001).  The results indicated that lapatinib may be useful in addressing the problem of trastuzumab progression in HER2 breast cancer."	"Breast Cancer"	"Capecitabine, Lapatinib"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1160"	"ERBB2"	"AMPLIFICATION"	"The EMILIA study (NCT00829166) was a Phase II trial to assess the efficacy of trastuzumab emtansine (T-DM1, n=495) in comparison to lapatinib plus capecitabine (n=496), in treatment of advanced HER2 positive breast cancer.  Patients were required to have progressed on or after treatments involving trastuzumab and a taxane, and no prior exposure to lapatinib or T-DM1.   Primary endpoints included independently assessed progression free survival (PFS) and safety. PFS was 9.6 months in T-DM1 group vs. 6.4 months in lapatinib plus capecitabine.  Rates of adverse events of grade 3 or higher were greater with lapatinib plus capecitabine.  These results, together with other trials such as TH3RESA indicate promise for T-DM1 therapy in HER2 amplification, and this will be further studied in an arm of the NCI-MATCH trial."	"Breast Cancer"	"Trastuzumab Emtansine"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1122"	"ERBB2"	"AMPLIFICATION"	"HERA was a Phase III trial assessing application of trastuzumab in an extended adjuvant setting.  Patients were HER2 positive with completely excised invasive BC, node positive or negative, and having undergone prior adjuvant or neo-adjuvant chemotherapy.  In the 3 arm study patients were given trastuzumab courses of 1 year, 2 years, or untreated.  At the first planned interim analysis, trastuzumab treatment for one year was compared with observation alone.  A significant difference in disease-free survival was seen with 220 DFS events out of 1693 in the observation arm versus 127 DFS events out of 1694 in the 1 year trastuzumab arm.  1 year adjuvant trastuzumab is currently the standard of care."	"Breast Cancer"	"Trastuzumab"	"A"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1077"	"ERBB2"	"AMPLIFICATION"	"CLEOPATRA (NCT00567190) was a Phase III, randomized and double-blind, placebo-controlled study of 808 patients with HER2-positive metastatic breast cancer.  Patients were HER2-positive by IHC3+ or FISH, and patients who had received prior hormonal treatment or adjuvant/neo-adjuvant therapy with or without trastuzumab for longer than 12 months before randomization were also eligible.  The two arms of the study were trastuzumab and docetaxel with either placebo or pertuzumab.  Median PFS in the placebo arm was 12.4 months while in the petuzumab arm 18.5 months was achieved.  Median OS in the control arm was 40.8 months and 56.5 months with pertuzumab.  These strong results make a case for dual antibody blockade in first line treatments of HER2-positive metastatic breast cancer."	"Breast Cancer"	"Docetaxel, Trastuzumab, Pertuzumab"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	5
"accepted"	"1022"	"ERBB2"	"AMPLIFICATION"	"ToGA, a Phase III study (NCT01041404) addressed use of trastuzumab in HER2 positive advanced gastric cancer, where chemotherapy using fluoropyrimidine-based and platinum-based combinations had been common practice.  Patients were given a chemotherapy regime containing capecitabine, flourouracil and cisplatin with (n=298) or without (n=296) trastuzumab, and had not been previously treated for metastatic cancer.  Study endpoint was overall survival, which was significantly different in the two populations (13.8 months with chemotherapy + trastuzumab and 11.1 months for chemotherapy alone).  The authors conclude that trastuzumab should be a standard option for HER2 positive advanced gastric cancer."	"Gastric Adenocarcinoma"	"Trastuzumab"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"1008"	"ERBB2"	"AMPLIFICATION"	"This Phase III trial compared the activity of lapatinib vs. trastuzumab vs. sequential trastuzumab followed by lapatinib vs. lapatinib plus trastuzumab in an adjuvant treatment setting.  8381 women were randomized to one of four treatment arms. Patients had HER2 positive non-metastatic operable BC. The primary endpoint was disease free survival.  First results report that after median 4.5 year follow up, a non significant 16% improvement in DFS was seen in trastuzumab + lapatinib vs. trastuzumab alone.  The results are interpreted as showing no added benefit for labatinib addition to trastuzumab in the adjuvant treatment context.  This trial is ongoing but not recruiting patients (NCT00490139)."	"Breast Cancer"	"Lapatinib, Trastuzumab"	"B"	"Predictive"	"Does Not Support"	"Sensitivity"	"Somatic Mutation"	4
